collection,index_name,key,partialFilterExpression
orders,_id_,"SON([('_id', 1)])",
orders,idx_orders_esr_status_purchase_estimated,"SON([('order_status', 1), ('order_purchase_timestamp', -1), ('order_estimated_delivery_date', 1)])",
orders,idx_orders_order_id,"SON([('order_id', 1)])",
order_items,_id_,"SON([('_id', 1)])",
order_items,idx_order_items_order_product_seller,"SON([('order_id', 1), ('product_id', 1), ('seller_id', 1)])",
products_catalog,_id_,"SON([('_id', 1)])",
products_catalog,idx_products_category_weight_partial,"SON([('product_category_name', 1), ('product_weight_g', 1)])","SON([('product_category_name', SON([('$type', 'string')])), ('product_weight_g', SON([('$gt', 0)]))])"
products_catalog,idx_products_full_text_category,"SON([('_fts', 'text'), ('_ftsx', 1)])",
products_catalog,idx_products_product_id,"SON([('product_id', 1)])",
order_reviews,_id_,"SON([('_id', 1)])",
order_reviews,idx_reviews_score_creation,"SON([('review_score', 1), ('review_creation_date', -1)])",
customers,_id_,"SON([('_id', 1)])",
customers,idx_customers_customer_id,"SON([('customer_id', 1)])",
sellers,_id_,"SON([('_id', 1)])",
sellers,idx_sellers_seller_id,"SON([('seller_id', 1)])",
