items_sold,category,orders_count,total_sales,avg_price,total_freight,gross_value
9465,health_beauty,8647,1233131.72,130.28,178957.81,1412089.53
5859,watches_gifts,5495,1166176.98,199.04,98156.14,1264333.12
10953,bed_bath_table,9272,1023434.76,93.44,201774.5,1225209.26
8431,sports_leisure,7530,954852.55,113.25,163404.36,1118256.91
7644,computers_accessories,6530,888724.61,116.26,143999.16,1032723.77
8160,furniture_decor,6307,711927.69,87.25,168402.23,880329.92
6795,housewares,5743,615628.69,90.6,142763.56,758392.25
3718,cool_stuff,3559,610204.1,164.12,81476.79,691680.89
4140,auto,3810,578966.65,139.85,90488.1,669454.75
4268,garden_tools,3448,470495.28,110.24,96650.4,567145.68
4030,toys,3804,471286.48,116.94,75774.58,547061.06
2982,baby,2809,400421.84,134.28,66305.81,466727.65
3340,perfumery,3086,390144.65,116.81,53026.98,443171.63
4430,telephony,4093,309860.23,69.95,69342.39,379202.62
1668,office_furniture,1254,268154.31,160.76,67057.05,335211.36
2466,stationery,2264,223788.69,90.75,45786.36,269575.05
1924,pet_shop,1688,211695.64,110.03,38918.56,250614.2
199,computers,177,218684.14,1098.92,9665.62,228349.76
651,musical_instruments,611,184315.74,283.13,17871.38,202187.12
2729,electronics,2517,155043.93,56.81,45679.16,200723.09
